instant,checking_status,duration,credit_history,purpose,credit_amount,savings_status,employment,installment_commitment,personal_status,other_parties,residence_since,property_magnitude,age,other_payment_plans,housing,existing_credits,job,num_dependents,own_telephone,foreign_worker,target
234,3,4.0,1,6,1544.0,1,3,2.0,3,2,1.0,3,42.0,1,1,3.0,3,2.0,0,1,1
235,1,24.0,3,6,1823.0,1,4,4.0,3,2,2.0,0,30.0,2,1,1.0,0,2.0,0,1,0
236,2,6.0,3,4,14555.0,4,4,1.0,3,2,2.0,1,23.0,1,1,1.0,2,1.0,1,1,0
237,2,21.0,3,0,2767.0,2,0,4.0,1,2,2.0,0,61.0,0,2,2.0,3,1.0,0,1,0
238,3,12.0,1,6,1291.0,1,2,4.0,0,2,2.0,1,35.0,1,1,2.0,1,1.0,0,1,1
239,1,30.0,3,6,2522.0,1,0,1.0,3,1,3.0,1,39.0,1,1,1.0,1,2.0,0,1,1
240,1,24.0,3,4,915.0,4,0,4.0,0,2,2.0,0,29.0,0,1,1.0,1,1.0,0,1,0
241,3,6.0,3,6,1595.0,1,3,3.0,3,2,2.0,1,51.0,1,1,1.0,1,2.0,0,1,1
242,1,48.0,4,9,4605.0,1,0,3.0,3,2,4.0,2,24.0,1,0,2.0,1,2.0,0,1,0
243,3,12.0,1,0,1185.0,1,2,3.0,0,2,2.0,3,27.0,1,1,2.0,1,1.0,0,1,1
244,3,12.0,0,8,3447.0,3,2,4.0,0,2,3.0,3,35.0,1,1,1.0,3,2.0,0,1,1
245,3,24.0,3,0,1258.0,1,3,4.0,3,2,1.0,3,25.0,1,1,1.0,1,1.0,1,1,1
246,3,12.0,1,6,717.0,1,0,4.0,3,2,4.0,3,52.0,1,1,3.0,1,1.0,0,1,1
247,3,6.0,4,4,1204.0,2,2,4.0,3,2,1.0,2,35.0,0,2,1.0,1,1.0,0,0,1
248,0,24.0,3,3,1925.0,1,2,2.0,3,2,2.0,3,26.0,1,1,1.0,1,1.0,0,1,1
249,3,18.0,3,6,433.0,1,4,3.0,0,0,4.0,3,22.0,1,2,1.0,1,1.0,0,1,0
250,1,6.0,1,4,666.0,0,3,3.0,0,2,4.0,3,39.0,1,1,2.0,3,1.0,1,1,1
251,0,12.0,3,3,2251.0,1,2,1.0,0,2,2.0,0,46.0,1,1,1.0,3,1.0,0,1,1
252,2,30.0,3,4,2150.0,1,2,4.0,0,1,2.0,2,24.0,0,1,1.0,1,1.0,0,1,0
253,3,24.0,2,3,4151.0,2,2,2.0,3,2,3.0,1,35.0,1,1,2.0,1,1.0,0,1,1
254,2,9.0,3,3,2030.0,4,3,2.0,3,2,1.0,0,24.0,1,1,1.0,1,1.0,1,1,1
255,2,60.0,2,6,7418.0,4,2,1.0,3,2,1.0,3,27.0,1,1,1.0,3,1.0,0,1,1
256,3,24.0,1,6,2684.0,1,2,4.0,3,2,2.0,3,35.0,1,1,2.0,3,1.0,0,1,1
257,1,12.0,0,6,2149.0,1,2,4.0,1,2,1.0,2,29.0,1,0,1.0,1,1.0,0,1,0
258,3,15.0,3,9,3812.0,2,1,1.0,0,2,4.0,0,23.0,1,1,1.0,1,1.0,1,1,1
259,3,11.0,1,6,1154.0,2,4,4.0,0,2,4.0,3,57.0,1,1,3.0,3,1.0,0,1,1
260,1,12.0,3,3,1657.0,1,2,2.0,3,2,2.0,3,27.0,1,1,1.0,1,1.0,0,1,1
261,1,24.0,3,6,1603.0,1,0,4.0,0,2,4.0,0,55.0,1,1,1.0,1,1.0,0,1,1
262,1,18.0,1,4,5302.0,1,0,2.0,3,2,4.0,2,36.0,1,0,3.0,0,1.0,1,1,1
263,3,12.0,1,2,2748.0,1,0,2.0,0,2,4.0,2,57.0,0,0,3.0,3,1.0,0,1,1
264,3,10.0,1,4,1231.0,1,0,3.0,3,2,4.0,3,32.0,1,1,2.0,3,2.0,0,0,1
265,2,15.0,3,6,802.0,1,0,4.0,3,2,3.0,0,37.0,1,1,1.0,1,2.0,0,1,0
266,3,36.0,1,0,6304.0,4,0,4.0,3,2,4.0,3,36.0,1,1,2.0,1,1.0,0,1,1
267,3,24.0,3,6,1533.0,1,1,4.0,0,2,3.0,0,38.0,2,1,1.0,1,1.0,1,1,1
268,1,14.0,3,4,8978.0,1,0,1.0,1,2,4.0,1,45.0,1,1,1.0,0,1.0,1,0,0
269,3,24.0,3,6,999.0,4,0,4.0,3,2,2.0,0,25.0,1,1,2.0,1,1.0,0,1,1
270,3,18.0,3,4,2662.0,4,3,4.0,3,2,3.0,1,32.0,1,1,1.0,1,1.0,0,0,1
271,3,12.0,1,3,1402.0,3,3,3.0,0,2,4.0,0,37.0,1,2,1.0,1,1.0,1,1,1
272,2,48.0,0,4,12169.0,4,4,4.0,3,0,4.0,2,36.0,1,0,1.0,0,1.0,1,1,1
273,2,48.0,3,6,3060.0,1,3,4.0,3,2,4.0,3,28.0,1,1,2.0,1,1.0,0,1,0
274,1,30.0,3,7,11998.0,1,1,1.0,1,2,1.0,2,34.0,1,1,1.0,3,1.0,1,1,0
275,3,9.0,3,6,2697.0,1,2,1.0,3,2,2.0,3,32.0,1,1,1.0,1,2.0,0,1,1
276,3,18.0,1,6,2404.0,1,2,2.0,0,2,2.0,0,26.0,1,1,2.0,1,1.0,0,1,1
277,1,12.0,3,3,1262.0,4,0,2.0,1,2,4.0,1,49.0,1,1,1.0,3,1.0,1,1,1
278,3,6.0,3,3,4611.0,1,1,1.0,0,2,4.0,1,32.0,1,1,1.0,1,1.0,0,1,0
279,3,24.0,3,6,1901.0,2,2,4.0,3,2,4.0,0,29.0,1,2,1.0,0,1.0,1,1,1
280,3,15.0,1,9,3368.0,0,0,3.0,3,2,4.0,2,23.0,1,2,2.0,1,1.0,1,1,1
281,3,12.0,3,3,1574.0,1,2,4.0,3,2,2.0,3,50.0,1,1,1.0,1,1.0,0,1,1
282,0,18.0,0,6,1445.0,4,3,4.0,3,2,4.0,0,49.0,0,1,1.0,3,1.0,0,1,1
283,3,15.0,1,3,1520.0,4,0,4.0,3,2,4.0,1,63.0,1,1,1.0,1,1.0,0,1,1
284,2,24.0,1,4,3878.0,2,1,4.0,1,2,2.0,0,37.0,1,1,1.0,1,1.0,1,1,1
285,1,47.0,3,4,10722.0,1,1,1.0,0,2,1.0,3,35.0,1,1,1.0,3,1.0,1,1,1
286,1,48.0,3,9,4788.0,1,3,4.0,3,2,3.0,1,26.0,1,1,1.0,1,2.0,0,1,1
287,2,48.0,2,5,7582.0,2,4,2.0,3,2,4.0,2,31.0,1,0,1.0,0,1.0,1,1,1
288,2,12.0,3,6,1092.0,1,2,4.0,0,1,4.0,3,49.0,1,1,2.0,1,1.0,1,1,1
289,1,24.0,2,6,1024.0,1,1,4.0,2,2,4.0,3,48.0,2,1,1.0,1,1.0,0,1,0
290,3,12.0,3,0,1076.0,1,2,2.0,2,2,2.0,3,26.0,1,1,1.0,1,1.0,1,0,1
291,2,36.0,3,9,9398.0,1,1,1.0,2,2,4.0,0,28.0,1,2,1.0,0,1.0,1,1,0
292,1,24.0,1,9,6419.0,1,0,2.0,0,2,4.0,2,44.0,1,0,2.0,0,2.0,1,1,1
293,0,42.0,1,9,4796.0,1,0,4.0,3,2,4.0,2,56.0,1,0,1.0,1,1.0,0,1,1
294,3,48.0,1,0,7629.0,4,0,4.0,1,2,2.0,0,46.0,0,1,2.0,0,2.0,0,1,1
295,2,48.0,3,3,9960.0,1,1,1.0,0,2,2.0,0,26.0,1,1,1.0,1,1.0,1,1,0
296,3,12.0,3,9,4675.0,4,1,1.0,0,2,4.0,0,20.0,1,2,1.0,1,1.0,0,1,1
297,3,10.0,3,4,1287.0,4,0,4.0,3,0,2.0,1,45.0,1,1,1.0,3,1.0,0,0,1
298,3,18.0,3,3,2515.0,1,2,3.0,3,2,4.0,3,43.0,1,1,1.0,1,1.0,1,1,1
299,2,21.0,1,3,2745.0,0,3,3.0,3,2,2.0,0,32.0,1,1,2.0,1,1.0,1,1,1
300,3,6.0,3,4,672.0,1,4,1.0,0,2,4.0,3,54.0,1,1,1.0,2,1.0,1,1,1
301,2,36.0,4,6,3804.0,1,2,4.0,0,2,1.0,0,42.0,1,1,1.0,1,1.0,1,1,0
302,0,24.0,1,4,1344.0,4,3,4.0,3,2,2.0,3,37.0,0,1,2.0,3,2.0,0,1,0
303,1,10.0,1,4,1038.0,1,3,4.0,3,0,3.0,1,49.0,1,1,2.0,1,1.0,1,1,1
304,3,48.0,1,4,10127.0,3,2,2.0,3,2,2.0,2,44.0,0,0,1.0,1,1.0,0,1,0
305,3,6.0,3,3,1543.0,0,2,4.0,1,2,2.0,3,33.0,1,1,1.0,1,1.0,0,1,1
306,3,30.0,3,9,4811.0,4,3,2.0,0,2,4.0,1,24.0,2,2,1.0,3,1.0,0,1,1
307,1,12.0,3,6,727.0,2,1,4.0,2,2,3.0,2,33.0,1,1,1.0,3,1.0,1,1,0
308,2,8.0,3,3,1237.0,1,2,3.0,0,2,4.0,3,24.0,1,1,1.0,1,1.0,0,1,0
309,2,9.0,3,4,276.0,1,2,4.0,2,2,4.0,3,22.0,1,2,1.0,3,1.0,0,1,1
310,2,48.0,3,5,5381.0,4,4,3.0,3,2,4.0,2,40.0,0,0,1.0,2,1.0,1,1,1
311,3,24.0,3,3,5511.0,2,2,4.0,3,2,1.0,0,25.0,2,1,1.0,1,1.0,0,1,1
312,0,24.0,3,3,3749.0,1,1,2.0,0,2,4.0,0,26.0,1,1,1.0,1,1.0,0,1,1
313,2,12.0,3,4,685.0,1,3,2.0,2,2,3.0,0,25.0,0,1,1.0,3,1.0,0,1,0
314,0,4.0,3,4,1494.0,4,1,1.0,3,2,2.0,3,29.0,1,1,1.0,3,2.0,0,0,1
315,1,36.0,0,3,2746.0,1,0,4.0,3,2,4.0,0,31.0,0,1,1.0,1,1.0,0,1,0
316,1,12.0,3,3,708.0,1,2,2.0,3,1,3.0,1,38.0,1,1,1.0,3,2.0,0,1,1
317,2,24.0,3,3,4351.0,4,2,1.0,0,2,4.0,1,48.0,1,1,1.0,3,1.0,1,1,1
318,3,12.0,1,2,701.0,1,2,4.0,3,2,2.0,0,32.0,1,1,2.0,1,1.0,0,1,1
319,1,15.0,2,3,3643.0,1,0,1.0,0,2,4.0,1,27.0,1,1,2.0,3,1.0,0,1,1
320,2,30.0,1,4,4249.0,1,4,4.0,2,2,2.0,0,28.0,1,1,2.0,0,1.0,0,1,0
321,1,24.0,3,6,1938.0,1,1,4.0,1,2,3.0,1,32.0,1,1,1.0,1,1.0,0,1,0
322,1,24.0,3,9,2910.0,1,3,2.0,3,2,1.0,2,34.0,1,0,1.0,0,1.0,1,1,1
323,1,18.0,3,3,2659.0,0,2,4.0,3,2,2.0,0,28.0,1,1,1.0,1,1.0,0,1,1
324,3,18.0,1,4,1028.0,1,2,4.0,0,2,3.0,3,36.0,1,1,2.0,1,1.0,0,1,1
325,1,8.0,1,4,3398.0,1,3,1.0,3,2,4.0,3,39.0,1,1,2.0,3,1.0,0,0,1
326,3,12.0,1,3,5801.0,4,0,2.0,3,2,4.0,1,49.0,1,2,1.0,1,1.0,1,1,1
327,3,24.0,3,4,1525.0,0,3,4.0,0,2,3.0,0,34.0,1,1,1.0,1,2.0,1,1,1
328,0,36.0,3,6,4473.0,1,0,4.0,3,2,2.0,0,31.0,1,1,1.0,1,1.0,0,1,1
329,2,6.0,3,6,1068.0,1,0,4.0,3,2,4.0,0,28.0,1,1,1.0,1,2.0,0,1,1
330,1,24.0,1,9,6615.0,1,4,2.0,3,2,4.0,2,75.0,1,0,2.0,0,1.0,1,1,1
331,3,18.0,1,2,1864.0,2,2,4.0,0,2,2.0,3,30.0,1,1,2.0,1,1.0,0,1,0
332,2,60.0,3,4,7408.0,2,1,4.0,0,2,2.0,1,24.0,1,1,1.0,0,1.0,0,1,0
333,3,48.0,1,9,11590.0,2,2,2.0,0,2,4.0,0,24.0,0,2,2.0,3,1.0,0,1,0
334,1,24.0,4,3,4110.0,1,0,3.0,3,2,4.0,2,23.0,0,2,2.0,1,2.0,0,1,0
335,1,6.0,1,3,3384.0,1,2,1.0,1,2,4.0,3,44.0,1,2,1.0,0,1.0,1,1,0
336,2,13.0,3,6,2101.0,1,1,2.0,0,1,4.0,1,23.0,1,1,1.0,3,1.0,0,1,1
337,1,15.0,3,1,1275.0,4,2,4.0,0,2,2.0,0,24.0,1,2,1.0,1,1.0,0,1,0
338,1,24.0,3,3,4169.0,1,2,4.0,3,2,4.0,1,28.0,1,1,1.0,1,1.0,0,1,1
339,2,10.0,3,3,1521.0,1,2,4.0,1,2,2.0,0,31.0,1,1,1.0,3,1.0,0,1,1
340,2,24.0,1,2,5743.0,1,1,2.0,0,2,4.0,2,24.0,1,0,2.0,1,1.0,1,1,1
341,1,21.0,3,3,3599.0,1,3,1.0,0,2,4.0,0,26.0,1,2,1.0,3,1.0,0,1,1
342,2,18.0,3,6,3213.0,3,1,1.0,2,2,3.0,3,25.0,1,2,1.0,1,1.0,0,1,1
343,2,18.0,3,0,4439.0,1,0,1.0,3,0,1.0,3,33.0,0,1,1.0,0,1.0,1,1,1
344,0,10.0,3,4,3949.0,1,1,1.0,3,1,1.0,1,37.0,1,1,1.0,3,2.0,0,1,1
345,3,15.0,1,6,1459.0,1,2,4.0,0,2,2.0,0,43.0,1,1,1.0,3,1.0,0,1,1
346,2,13.0,1,6,882.0,1,1,4.0,3,1,4.0,3,23.0,1,1,2.0,1,1.0,0,1,1
347,2,24.0,3,6,3758.0,3,4,1.0,0,2,4.0,2,23.0,1,2,1.0,2,1.0,0,1,1
348,3,6.0,2,0,1743.0,2,2,1.0,3,2,2.0,3,34.0,1,1,2.0,3,1.0,0,1,1
349,2,9.0,1,2,1136.0,0,0,4.0,3,2,3.0,2,32.0,1,0,2.0,1,2.0,0,1,0
350,3,9.0,3,1,1236.0,1,1,1.0,0,2,4.0,3,23.0,1,2,1.0,1,1.0,1,1,1
351,2,9.0,3,3,959.0,1,2,1.0,0,2,2.0,0,29.0,1,1,1.0,1,1.0,0,0,0
352,3,18.0,1,9,3229.0,4,4,2.0,3,2,4.0,2,38.0,1,1,1.0,0,1.0,1,1,1
353,1,12.0,4,6,6199.0,1,2,4.0,3,2,2.0,1,28.0,1,2,2.0,1,1.0,1,1,0
354,3,10.0,3,2,727.0,3,0,4.0,3,2,4.0,2,46.0,1,0,1.0,1,1.0,1,1,1
355,2,24.0,3,4,1246.0,1,1,4.0,3,2,2.0,3,23.0,2,1,1.0,3,1.0,0,1,0
356,3,12.0,1,6,2331.0,4,0,1.0,3,0,4.0,3,49.0,1,1,1.0,1,1.0,1,1,1
357,3,36.0,2,6,4463.0,1,2,4.0,3,2,2.0,0,26.0,1,1,2.0,0,1.0,1,1,0
358,3,12.0,3,6,776.0,1,2,4.0,2,2,2.0,3,28.0,1,1,1.0,1,1.0,0,1,1
359,1,30.0,3,3,2406.0,1,3,4.0,0,2,4.0,3,23.0,1,2,1.0,1,1.0,0,1,0
360,2,18.0,3,2,1239.0,4,2,4.0,3,2,4.0,2,61.0,1,0,1.0,1,1.0,0,1,1
361,0,12.0,3,6,3399.0,4,0,2.0,3,2,3.0,0,37.0,1,1,1.0,0,1.0,0,1,1
362,0,12.0,2,4,2247.0,1,2,2.0,0,2,2.0,0,36.0,2,1,2.0,1,1.0,1,1,1
363,3,6.0,3,3,1766.0,1,2,1.0,2,2,2.0,1,21.0,1,2,1.0,1,1.0,0,1,1
364,1,18.0,3,3,2473.0,1,4,4.0,3,2,1.0,0,25.0,1,1,1.0,2,1.0,0,1,0
365,3,12.0,3,0,1542.0,1,3,2.0,3,2,4.0,0,36.0,1,1,1.0,1,1.0,1,1,1
366,3,18.0,1,9,3850.0,1,3,3.0,3,2,1.0,0,27.0,1,1,2.0,1,1.0,0,1,1
367,1,18.0,3,3,3650.0,1,1,1.0,0,2,4.0,0,22.0,1,2,1.0,1,1.0,0,1,1
368,1,36.0,3,3,3446.0,1,0,4.0,3,2,2.0,0,42.0,1,1,1.0,1,2.0,0,1,0
369,2,18.0,3,3,3001.0,1,3,2.0,0,2,4.0,3,40.0,1,2,1.0,1,1.0,0,1,1
370,3,36.0,3,4,3079.0,4,2,4.0,3,2,4.0,3,36.0,1,1,1.0,1,1.0,0,1,1
371,3,18.0,1,6,6070.0,1,0,3.0,3,2,4.0,0,33.0,1,1,2.0,1,1.0,1,1,1
372,3,10.0,1,3,2146.0,1,1,1.0,0,2,3.0,3,23.0,1,2,2.0,1,1.0,0,1,1
373,3,60.0,1,4,13756.0,4,0,2.0,3,2,4.0,2,63.0,0,0,1.0,0,1.0,1,1,1
374,2,60.0,0,5,14782.0,2,0,3.0,0,2,4.0,2,60.0,0,0,2.0,0,1.0,1,1,0
375,1,48.0,0,0,7685.0,1,3,2.0,0,1,4.0,0,37.0,1,2,1.0,1,1.0,0,1,0
376,3,18.0,2,6,2320.0,1,4,2.0,2,2,3.0,3,34.0,1,1,2.0,1,1.0,0,1,1
377,3,7.0,2,6,846.0,4,0,3.0,3,2,4.0,2,36.0,1,0,1.0,1,1.0,0,1,1
378,2,36.0,3,4,14318.0,1,0,4.0,3,2,2.0,2,57.0,1,0,1.0,0,1.0,1,1,0
379,3,6.0,1,4,362.0,2,2,4.0,0,2,4.0,0,52.0,1,1,2.0,3,1.0,0,1,1
380,1,20.0,3,3,2212.0,4,3,4.0,3,2,4.0,0,39.0,1,1,1.0,1,1.0,1,1,1
381,2,18.0,3,9,12976.0,1,4,3.0,0,2,4.0,2,38.0,1,0,1.0,0,1.0,1,1,0
382,3,22.0,3,4,1283.0,4,3,4.0,0,2,4.0,1,25.0,1,2,1.0,1,1.0,0,1,1
383,0,12.0,3,4,1330.0,1,1,4.0,3,2,1.0,3,26.0,1,1,1.0,1,1.0,0,1,1
384,3,30.0,2,0,4272.0,2,2,2.0,3,2,2.0,1,26.0,1,1,2.0,3,1.0,0,1,1
385,3,18.0,1,6,2238.0,1,2,2.0,0,2,1.0,0,25.0,1,1,2.0,1,1.0,0,1,1
386,3,18.0,3,6,1126.0,4,1,4.0,0,2,2.0,3,21.0,1,2,1.0,1,1.0,1,1,1
387,2,18.0,1,3,7374.0,1,4,4.0,3,2,4.0,1,40.0,2,1,2.0,0,1.0,1,1,1
388,2,15.0,1,0,2326.0,3,2,2.0,3,2,4.0,0,27.0,0,1,1.0,1,1.0,0,1,1
389,3,9.0,3,0,1449.0,1,3,3.0,0,2,2.0,0,27.0,1,1,2.0,1,1.0,0,1,1
390,3,18.0,3,4,1820.0,1,2,2.0,2,2,2.0,1,30.0,1,1,1.0,0,1.0,1,1,1
391,2,12.0,3,3,983.0,0,1,1.0,0,2,4.0,3,19.0,1,2,1.0,3,1.0,0,1,1
392,1,36.0,3,4,3249.0,1,3,2.0,3,2,4.0,2,39.0,0,0,1.0,0,2.0,1,1,1
393,1,6.0,1,6,1957.0,1,3,1.0,0,2,4.0,0,31.0,1,1,1.0,1,1.0,0,1,1
394,3,9.0,1,3,2406.0,1,4,2.0,3,2,3.0,0,31.0,1,1,1.0,0,1.0,0,1,1
395,2,39.0,2,2,11760.0,2,3,2.0,3,2,3.0,2,32.0,1,2,1.0,1,1.0,1,1,1
396,1,12.0,3,3,2578.0,1,4,3.0,0,2,4.0,2,55.0,1,0,1.0,0,1.0,0,1,1
397,1,36.0,1,3,2348.0,1,2,3.0,2,2,2.0,1,46.0,1,1,2.0,1,1.0,1,1,1
398,2,12.0,3,4,1223.0,1,0,1.0,1,2,1.0,3,46.0,1,2,2.0,1,1.0,0,1,0
399,3,24.0,1,6,1516.0,0,2,4.0,0,2,1.0,3,43.0,1,1,2.0,3,1.0,0,1,1
400,3,18.0,3,6,1473.0,1,1,3.0,2,2,4.0,3,39.0,1,1,1.0,1,1.0,1,1,1
401,2,18.0,1,0,1887.0,4,2,4.0,2,2,4.0,3,28.0,0,1,2.0,1,1.0,0,1,1
402,3,24.0,2,0,8648.0,1,1,2.0,3,2,2.0,0,27.0,0,1,2.0,1,1.0,1,1,0
403,3,14.0,2,4,802.0,1,2,4.0,3,2,2.0,0,27.0,1,1,2.0,3,1.0,0,1,1
404,2,18.0,2,4,2899.0,4,0,4.0,3,2,4.0,0,43.0,1,1,1.0,1,2.0,0,1,1
405,2,24.0,3,6,2039.0,1,1,1.0,2,2,1.0,1,22.0,1,1,1.0,1,1.0,1,1,0
406,3,24.0,1,9,2197.0,4,3,4.0,3,2,4.0,0,43.0,1,1,2.0,1,2.0,1,1,1
407,1,15.0,3,6,1053.0,1,1,4.0,2,2,2.0,3,27.0,1,1,1.0,1,1.0,0,0,1
408,3,24.0,3,6,3235.0,3,0,3.0,1,2,2.0,0,26.0,1,1,1.0,0,1.0,1,1,1
409,0,12.0,1,4,939.0,3,3,4.0,2,2,2.0,3,28.0,1,1,3.0,1,1.0,1,1,0
410,2,24.0,3,6,1967.0,1,0,4.0,0,2,4.0,0,20.0,1,1,1.0,1,1.0,1,1,1
411,3,33.0,1,9,7253.0,1,3,3.0,3,2,2.0,0,35.0,1,1,2.0,0,1.0,1,1,1
412,3,12.0,1,0,2292.0,1,4,4.0,3,2,2.0,0,42.0,2,1,2.0,0,1.0,1,1,0
413,3,10.0,3,4,1597.0,3,2,3.0,3,2,2.0,2,40.0,1,2,1.0,3,2.0,0,0,1
414,1,24.0,3,4,1381.0,4,2,4.0,0,2,2.0,1,35.0,1,1,1.0,1,1.0,0,1,0
415,3,36.0,1,9,5842.0,1,0,2.0,3,2,2.0,1,35.0,1,1,2.0,1,2.0,1,1,1
416,1,12.0,3,4,2579.0,1,1,4.0,3,2,1.0,3,33.0,1,1,1.0,3,2.0,0,1,0
417,1,18.0,2,2,8471.0,4,2,1.0,0,2,2.0,0,23.0,1,2,2.0,1,1.0,1,1,1
418,3,21.0,3,4,2782.0,3,3,1.0,0,2,2.0,0,31.0,0,1,1.0,0,1.0,0,1,1
419,2,18.0,3,4,1042.0,4,2,4.0,0,2,2.0,1,33.0,1,1,1.0,1,1.0,0,1,0
420,3,15.0,3,4,3186.0,0,3,2.0,0,2,3.0,0,20.0,1,2,1.0,1,1.0,0,1,1
421,2,12.0,3,9,2028.0,4,2,4.0,3,2,2.0,0,30.0,1,1,1.0,1,1.0,0,1,1
422,2,12.0,1,4,958.0,1,3,2.0,3,2,3.0,3,47.0,1,1,2.0,3,2.0,0,1,1
423,3,21.0,2,3,1591.0,2,3,4.0,3,2,3.0,3,34.0,1,1,2.0,0,1.0,0,1,1
424,2,12.0,3,3,2762.0,4,0,1.0,0,2,2.0,1,25.0,0,1,1.0,1,1.0,1,1,0
425,2,18.0,3,9,2779.0,1,2,1.0,2,2,3.0,0,21.0,1,2,1.0,1,1.0,1,1,1
426,3,28.0,1,6,2743.0,1,0,4.0,3,2,2.0,0,29.0,1,1,2.0,1,1.0,0,1,1
427,3,18.0,1,6,1149.0,0,2,4.0,3,2,3.0,3,46.0,1,1,2.0,1,1.0,0,1,1
428,3,9.0,3,3,1313.0,1,0,1.0,3,2,4.0,0,20.0,1,1,1.0,1,1.0,0,1,1
429,1,18.0,1,7,1190.0,1,4,2.0,0,2,4.0,2,55.0,1,0,3.0,2,2.0,0,1,0
430,3,5.0,3,0,3448.0,1,3,1.0,3,2,4.0,3,74.0,1,1,1.0,3,1.0,0,1,1
431,2,24.0,3,5,11328.0,1,2,2.0,3,0,3.0,0,29.0,0,1,2.0,0,1.0,1,1,0
432,1,6.0,1,3,1872.0,1,4,4.0,3,2,4.0,2,36.0,1,0,3.0,0,1.0,1,1,1
433,3,24.0,1,7,2058.0,1,2,4.0,1,2,2.0,3,33.0,1,1,2.0,1,1.0,1,1,1
434,1,9.0,3,3,2136.0,1,2,3.0,3,2,2.0,3,25.0,1,1,1.0,1,1.0,0,1,1
435,2,12.0,3,6,1484.0,4,2,2.0,2,2,1.0,3,25.0,1,1,1.0,1,1.0,1,1,0
436,3,6.0,3,7,660.0,3,3,2.0,2,2,4.0,3,23.0,1,2,1.0,3,1.0,0,1,1
437,3,24.0,1,4,1287.0,0,0,4.0,0,2,4.0,3,37.0,1,1,2.0,1,1.0,1,1,1
438,1,42.0,1,7,3394.0,1,4,4.0,3,0,4.0,0,65.0,1,1,2.0,2,1.0,0,1,1
439,0,12.0,0,0,609.0,1,1,4.0,0,2,1.0,3,26.0,1,1,1.0,2,1.0,0,1,0
440,3,12.0,3,4,1884.0,1,0,4.0,3,2,4.0,0,39.0,1,1,1.0,0,1.0,1,1,1
441,1,12.0,3,3,1620.0,1,2,2.0,0,0,3.0,1,30.0,1,1,1.0,1,1.0,0,1,1
442,2,20.0,2,5,2629.0,1,2,2.0,3,2,3.0,0,29.0,0,1,2.0,1,1.0,1,1,1
443,3,12.0,3,2,719.0,1,0,4.0,3,2,4.0,0,41.0,0,1,1.0,3,2.0,0,1,0
444,2,48.0,1,3,5096.0,1,2,2.0,0,2,3.0,0,30.0,1,1,1.0,0,1.0,1,1,0
445,3,9.0,1,2,1244.0,4,0,4.0,0,2,4.0,1,41.0,1,2,2.0,3,1.0,0,1,1
446,1,36.0,3,4,1842.0,1,1,4.0,0,2,4.0,0,34.0,1,1,1.0,1,1.0,1,1,0
447,2,7.0,3,6,2576.0,1,2,2.0,3,1,2.0,3,35.0,1,1,1.0,1,1.0,0,1,1
448,0,12.0,3,3,1424.0,4,0,3.0,0,2,4.0,3,55.0,1,1,1.0,0,1.0,1,1,1
449,2,15.0,2,7,1512.0,0,2,3.0,2,2,3.0,1,61.0,2,1,2.0,1,1.0,0,1,0
450,3,36.0,1,9,11054.0,4,2,4.0,3,2,2.0,0,30.0,1,1,1.0,0,1.0,1,1,1
451,3,6.0,3,6,518.0,1,2,3.0,0,2,1.0,3,29.0,1,1,1.0,1,1.0,0,1,1
452,3,12.0,4,3,2759.0,1,0,2.0,3,2,4.0,1,34.0,1,1,2.0,1,1.0,0,1,1
453,3,24.0,3,9,2670.0,1,0,4.0,3,2,4.0,0,35.0,1,1,1.0,0,1.0,1,1,1
454,1,24.0,3,4,4817.0,1,3,2.0,3,0,3.0,1,31.0,1,1,1.0,1,1.0,1,1,0
455,3,24.0,3,9,2679.0,1,1,4.0,0,2,1.0,2,29.0,1,1,1.0,0,1.0,1,1,1
456,1,11.0,1,4,3905.0,1,2,2.0,3,2,2.0,3,36.0,1,2,2.0,1,2.0,0,1,1
457,1,12.0,3,9,3386.0,1,0,3.0,3,2,4.0,2,35.0,1,0,1.0,1,1.0,1,1,0
458,1,6.0,3,1,343.0,1,1,4.0,0,2,1.0,3,27.0,1,1,1.0,1,1.0,0,1,1
459,3,18.0,3,6,4594.0,1,1,3.0,3,2,2.0,0,32.0,1,1,1.0,1,1.0,1,1,1
460,1,36.0,3,3,3620.0,1,2,1.0,3,1,2.0,1,37.0,1,1,1.0,1,2.0,0,1,1
461,1,15.0,3,4,1721.0,1,1,2.0,3,2,3.0,3,36.0,1,1,1.0,1,1.0,0,1,1
462,2,12.0,3,3,3017.0,1,1,3.0,0,2,1.0,3,34.0,1,2,1.0,0,1.0,0,1,1
463,2,12.0,3,8,754.0,4,0,4.0,3,2,4.0,1,38.0,1,1,2.0,1,1.0,0,1,1
464,3,18.0,3,0,1950.0,1,3,4.0,3,2,1.0,0,34.0,2,1,2.0,1,1.0,1,1,1
465,1,24.0,3,9,2924.0,1,2,3.0,3,1,4.0,2,63.0,0,1,1.0,1,2.0,1,1,1
466,1,24.0,2,6,1659.0,1,1,4.0,0,2,2.0,0,29.0,1,2,1.0,3,1.0,1,1,0
467,3,48.0,2,6,7238.0,4,0,3.0,3,2,3.0,0,32.0,0,1,2.0,1,2.0,0,1,1
468,3,33.0,2,0,2764.0,1,2,2.0,0,2,2.0,0,26.0,1,1,2.0,1,1.0,1,1,1
