instant,surgery,Age,rectal_temperature,pulse,respiratory_rate,temp_extremities,peripheral_pulse,mucous_membranes,capillary_refill_time,pain,peristalsis,abdominal_distension,nasogastric_tube,nasogastric_reflux,nasogastric_reflux_PH,rectal_examination,abdomen,packed_cell_volume,total_protein,abdominocentesis_appearance,abdomcentesis_total_protein,outcome,target
348,2,0,8,25,1,2,3,4,0,1,2,2,0,2,24,1,5,18,34,3,43,3,1
349,2,0,24,28,7,2,3,4,1,5,3,2,0,2,24,2,0,13,62,0,44,3,1
350,2,0,40,46,32,2,3,5,1,3,3,1,0,1,24,1,2,31,42,3,11,2,1
351,2,1,20,44,28,1,1,3,2,4,3,1,0,2,24,4,0,37,16,3,20,1,1
352,1,0,16,35,5,3,3,6,1,3,3,4,1,0,24,2,0,19,60,0,44,2,0
353,2,0,25,20,15,4,0,6,1,3,3,0,0,2,24,0,0,9,46,0,11,2,1
354,2,0,40,21,1,3,3,4,1,1,4,2,1,3,24,4,1,22,84,0,44,3,1
356,1,0,12,32,6,2,0,4,1,4,1,1,3,0,24,1,1,5,48,2,44,3,1
357,2,0,40,54,40,1,4,0,0,3,1,2,0,2,24,0,0,32,63,3,11,3,1
358,2,0,5,28,5,2,3,6,1,5,2,2,1,3,24,0,0,3,23,0,44,2,1
359,2,0,23,50,40,3,3,6,1,4,3,1,3,1,2,1,1,25,65,0,44,3,1
360,2,0,40,42,1,3,3,5,1,2,3,1,0,1,14,0,0,36,71,1,44,3,1
361,1,0,20,24,40,2,3,4,1,1,2,4,3,3,24,2,5,11,17,2,44,3,0
362,2,1,20,44,28,1,1,3,2,4,3,1,0,2,24,4,0,37,16,3,20,1,1
363,1,0,24,35,15,3,3,6,1,5,4,4,1,3,24,0,0,18,27,1,44,3,1
364,1,0,16,24,20,3,3,4,1,1,3,2,0,2,24,2,3,12,29,0,44,3,0
365,2,0,18,35,1,3,3,1,1,3,2,2,1,3,24,4,2,22,42,3,11,2,1
366,1,0,18,24,1,2,0,6,1,1,2,2,0,2,24,0,4,13,16,0,44,3,0
367,1,0,14,49,19,2,3,4,1,4,3,4,1,1,1,0,0,22,27,0,44,1,1
