instant,Day.Of.Week,Month,Day,Returning.Visits,target
1068,4,8,16,475,2755
1069,5,8,17,403,2608
1070,6,8,18,358,2163
1071,7,8,19,208,1304
1072,1,8,20,263,1969
1073,2,8,21,494,2985
1074,3,8,22,487,3087
1075,4,8,23,443,3047
1076,5,8,24,426,2961
1077,6,8,25,332,2293
1078,7,8,26,183,1261
1079,1,8,27,228,1676
1080,2,8,28,282,1786
1081,3,8,29,465,3252
1082,4,8,30,438,3082
1083,5,8,31,384,2721
1084,6,9,1,348,2217
1085,7,9,2,178,1271
1086,1,9,3,239,1742
1087,2,9,4,324,2293
1088,3,9,5,471,3155
1089,4,9,6,438,3159
1090,5,9,7,466,3054
1091,6,9,8,360,2440
1092,7,9,9,184,1532
1093,1,9,10,291,2247
1094,2,9,11,463,3570
1095,3,9,12,465,3524
1096,4,9,13,433,3471
1097,5,9,14,441,3303
1098,6,9,15,348,2560
1099,7,9,16,178,1470
1100,1,9,17,269,2234
1101,2,9,18,473,3504
1102,3,9,19,458,3984
1103,4,9,20,472,3746
1104,5,9,21,524,3524
1105,6,9,22,353,2639
1106,7,9,23,203,1523
1107,1,9,24,288,2425
1108,2,9,25,503,3671
1109,3,9,26,474,3669
1110,4,9,27,446,3537
1111,5,9,28,459,3413
1112,6,9,29,348,2699
1113,7,9,30,231,1829
1114,1,10,1,305,2379
1115,2,10,2,448,3637
1116,3,10,3,534,3775
1117,4,10,4,486,3572
1118,5,10,5,465,3605
1119,6,10,6,408,2774
1120,7,10,7,248,1780
1121,1,10,8,313,2469
1122,2,10,9,521,3881
1123,3,10,10,489,3767
1124,4,10,11,589,4082
1125,5,10,12,528,4047
1126,6,10,13,408,2877
1127,7,10,14,261,2073
1128,1,10,15,327,2759
1129,2,10,16,536,3817
1130,3,10,17,528,3949
1131,4,10,18,501,3867
1132,5,10,19,463,3621
1133,6,10,20,448,2978
1134,7,10,21,276,1992
1135,1,10,22,363,2851
1136,2,10,23,526,4390
1137,3,10,24,532,3886
1138,4,10,25,460,3424
1139,5,10,26,526,4207
1140,6,10,27,494,3345
1141,7,10,28,290,2128
1142,1,10,29,318,2205
1143,2,10,30,546,4091
1144,3,10,31,588,4223
1145,4,11,1,593,4361
1146,5,11,2,590,4263
1147,6,11,3,494,3341
1148,7,11,4,327,2278
1149,1,11,5,411,3097
1150,2,11,6,575,4185
1151,3,11,7,652,4477
1152,4,11,8,648,4354
1153,5,11,9,604,4194
1154,6,11,10,486,3240
1155,7,11,11,330,2424
1156,1,11,12,456,3168
1157,2,11,13,649,4709
1158,3,11,14,646,4634
1159,4,11,15,664,4545
1160,5,11,16,639,4532
1161,6,11,17,490,3317
1162,7,11,18,355,2449
1163,1,11,19,451,2893
1164,2,11,20,580,4170
1165,3,11,21,607,4277
1166,4,11,22,547,3588
1167,5,11,23,477,3141
1168,6,11,24,414,2658
1169,7,11,25,325,2391
1170,1,11,26,453,3202
1171,2,11,27,650,4349
1172,3,11,28,692,4886
1173,4,11,29,660,4555
1174,5,11,30,604,4477
1175,6,12,1,547,3577
1176,7,12,2,366,2430
1177,1,12,3,498,3449
1178,2,12,4,654,4955
1179,3,12,5,660,4475
1180,4,12,6,686,4595
1181,5,12,7,636,4451
1182,6,12,8,512,3418
1183,7,12,9,372,2605
1184,1,12,10,505,3483
1185,2,12,11,694,4651
1186,3,12,12,660,4029
1187,4,12,13,596,4282
1188,5,12,14,615,4138
1189,6,12,15,592,4130
1190,7,12,16,332,2581
1191,1,12,17,424,3355
1192,2,12,18,618,4482
1193,3,12,19,565,4584
1194,4,12,20,528,4106
1195,5,12,21,445,3378
1196,6,12,22,333,2446
1197,7,12,23,205,1447
1198,1,12,24,199,1326
1199,2,12,25,206,1609
1200,3,12,26,333,2481
1201,4,12,27,390,2798
1202,5,12,28,372,2809
1203,6,12,29,327,2216
1204,7,12,30,232,1546
1205,1,12,31,199,1339
1206,2,1,1,242,1709
1207,3,1,2,453,3389
1208,4,1,3,455,3391
1209,5,1,4,432,3698
1210,6,1,5,471,3511
1211,7,1,6,302,2279
1212,1,1,7,374,2822
1213,2,1,8,598,4240
1214,3,1,9,542,4319
1215,4,1,10,562,4224
1216,5,1,11,501,3797
1217,6,1,12,435,3190
1218,7,1,13,245,1998
1219,1,1,14,318,2515
1220,2,1,15,547,3950
1221,3,1,16,498,4033
1222,4,1,17,527,4269
1223,5,1,18,520,4124
1224,6,1,19,435,3228
1225,7,1,20,263,2287
1226,1,1,21,368,2946
1227,2,1,22,501,4608
1228,3,1,23,588,4786
1229,4,1,24,564,4724
1230,5,1,25,527,4417
1231,6,1,26,489,3580
1232,7,1,27,315,2345
1233,1,1,28,364,3170
1234,2,1,29,621,4862
1235,3,1,30,602,4600
1236,4,1,31,545,4705
1237,5,2,1,593,4723
1238,6,2,2,468,3969
1239,7,2,3,332,2994
1240,1,2,4,375,3162
1241,2,2,5,552,4949
1242,3,2,6,627,5092
1243,4,2,7,590,4767
1244,5,2,8,576,4625
1245,6,2,9,462,3738
1246,7,2,10,316,2739
1247,1,2,11,399,3923
1248,2,2,12,642,5341
1249,3,2,13,624,5114
1250,4,2,14,646,4896
1251,5,2,15,543,4502
1252,6,2,16,506,3729
1253,7,2,17,299,2388
1254,1,2,18,386,3405
1255,2,2,19,649,5176
1256,3,2,20,619,5429
1257,4,2,21,579,5120
1258,5,2,22,605,4993
1259,6,2,23,530,4148
1260,7,2,24,333,2763
1261,1,2,25,435,3599
1262,2,2,26,676,5542
1263,3,2,27,641,5378
1264,4,2,28,639,5536
1265,5,3,1,602,4984
1266,6,3,2,523,4130
1267,7,3,3,343,2818
1268,1,3,4,450,3978
1269,2,3,5,708,5502
1270,3,3,6,682,5740
1271,4,3,7,697,5635
1272,5,3,8,660,5375
1273,6,3,9,548,4273
1274,7,3,10,387,3223
1275,1,3,11,439,3956
1276,2,3,12,694,5895
1277,3,3,13,809,6152
1278,4,3,14,716,5906
1279,5,3,15,782,6300
1280,6,3,16,586,4915
1281,7,3,17,343,3218
1282,1,3,18,484,4429
1283,2,3,19,722,5739
1284,3,3,20,739,6220
1285,4,3,21,767,6238
1286,5,3,22,656,6226
1287,6,3,23,537,4364
1288,7,3,24,339,2882
1289,1,3,25,485,4010
1290,2,3,26,706,6084
1291,3,3,27,701,5874
1292,4,3,28,629,5719
1293,5,3,29,584,5003
1294,6,3,30,479,3605
1295,7,3,31,389,2811
1296,1,4,1,482,3567
1297,2,4,2,667,5237
1298,3,4,3,688,6154
1299,4,4,4,694,5895
1300,5,4,5,711,5858
1301,6,4,6,599,5034
1302,7,4,7,451,3613
1303,1,4,8,529,4389
1304,2,4,9,744,6278
1305,3,4,10,767,6836
1306,4,4,11,837,6731
1307,5,4,12,769,6287
1308,6,4,13,604,5089
1309,7,4,14,448,3812
1310,1,4,15,624,5290
1311,2,4,16,805,7161
1312,3,4,17,881,7352
1313,4,4,18,841,7218
1314,5,4,19,777,7040
1315,6,4,20,699,5367
1316,7,4,21,496,4021
1317,1,4,22,663,5397
1318,2,4,23,908,7605
1319,3,4,24,913,7614
1320,4,4,25,925,7984
1321,5,4,26,866,7040
1322,6,4,27,654,5628
1323,7,4,28,477,3926
1324,1,4,29,578,5479
1325,2,4,30,800,6670
1326,3,5,1,800,6783
1327,4,5,2,852,7105
1328,5,5,3,848,6877
1329,6,5,4,672,5460
1330,7,5,5,510,3648
1331,1,5,6,574,4917
1332,2,5,7,773,6980
1333,3,5,8,877,6702
1334,4,5,9,907,6699
1335,5,5,10,794,6001
1336,6,5,11,688,5094
1337,7,5,12,416,3179
1338,1,5,13,499,4169
1339,2,5,14,751,6392
1340,3,5,15,710,5878
1341,4,5,16,710,5800
1342,5,5,17,769,5690
1343,6,5,18,586,4314
1344,7,5,19,382,2948
1345,1,5,20,519,3864
1346,2,5,21,703,5499
1347,3,5,22,771,5790
1348,4,5,23,765,5720
1349,5,5,24,710,5692
1350,6,5,25,615,4082
1351,7,5,26,368,2716
1352,1,5,27,487,3430
1353,2,5,28,602,4353
1354,3,5,29,665,5525
1355,4,5,30,666,5407
1356,5,5,31,693,4994
1357,6,6,1,509,3835
1358,7,6,2,327,2511
1359,1,6,3,417,3371
1360,2,6,4,658,5226
1361,3,6,5,642,5139
1362,4,6,6,646,5051
1363,5,6,7,598,4787
1364,6,6,8,563,3956
1365,7,6,9,311,2303
1366,1,6,10,374,3011
1367,2,6,11,612,4896
1368,3,6,12,685,4952
1369,4,6,13,660,4570
1370,5,6,14,585,4542
1371,6,6,15,473,3383
1372,7,6,16,255,1922
1373,1,6,17,316,2404
1374,2,6,18,651,4576
1375,3,6,19,625,4727
1376,4,6,20,619,4639
1377,5,6,21,608,4108
1378,6,6,22,463,3372
1379,7,6,23,288,1996
1380,1,6,24,353,2415
1381,2,6,25,609,4457
1382,3,6,26,629,4736
1383,4,6,27,574,4245
1384,5,6,28,625,4081
1385,6,6,29,440,3053
1386,7,6,30,220,1741
1387,1,7,1,307,2186
1388,2,7,2,581,4026
1389,3,7,3,549,3961
1390,4,7,4,437,3019
1391,5,7,5,499,3743
1392,6,7,6,420,3050
1393,7,7,7,223,1688
1394,1,7,8,295,2185
1395,2,7,9,560,4104
1396,3,7,10,635,4097
1397,4,7,11,611,3844
1398,5,7,12,529,3743
1399,6,7,13,487,3073
1400,7,7,14,257,1852
1401,1,7,15,301,2105
1402,2,7,16,562,4078
1403,3,7,17,601,4515
1404,4,7,18,606,4276
1405,5,7,19,591,4043
1406,6,7,20,452,3004
1407,7,7,21,235,1664
1408,1,7,22,315,2248
1409,2,7,23,577,4062
1410,3,7,24,589,4053
1411,4,7,25,552,3628
1412,5,7,26,490,3596
1413,6,7,27,463,3140
1414,7,7,28,250,1938
1415,1,7,29,335,2460
1416,2,7,30,605,4175
1417,3,7,31,571,4113
1418,4,8,1,591,4273
1419,5,8,2,552,4194
1420,6,8,3,512,3405
1421,7,8,4,226,1800
1422,1,8,5,306,2378
1423,2,8,6,623,4319
1424,3,8,7,596,4388
1425,4,8,8,606,4205
1426,5,8,9,557,3973
1427,6,8,10,447,3510
1428,7,8,11,269,1913
1429,1,8,12,360,2397
1430,2,8,13,565,4348
1431,3,8,14,561,3966
1432,4,8,15,509,3805
1433,5,8,16,530,3866
1434,6,8,17,482,3489
1435,7,8,18,286,2074
1436,1,8,19,369,2519
1437,2,8,20,606,4202
1438,3,8,21,564,4023
1439,4,8,22,564,4048
1440,5,8,23,611,4150
1441,6,8,24,457,3154
1442,7,8,25,305,2143
1443,1,8,26,333,2576
1444,2,8,27,587,4317
1445,3,8,28,596,4421
1446,4,8,29,624,4563
1447,5,8,30,533,4055
1448,6,8,31,490,3427
1449,7,9,1,252,1731
1450,1,9,2,348,2258
1451,2,9,3,467,3655
1452,3,9,4,560,4456
1453,4,9,5,586,4566
1454,5,9,6,541,4314
1455,6,9,7,459,3557
1456,7,9,8,293,2281
1457,1,9,9,349,3346
1458,2,9,10,600,4711
1459,3,9,11,539,4709
1460,4,9,12,568,4379
1461,5,9,13,545,4357
1462,6,9,14,489,3560
1463,7,9,15,244,2049
1464,1,9,16,320,2813
1465,2,9,17,620,5064
1466,3,9,18,626,5006
1467,4,9,19,574,4949
1468,5,9,20,592,4695
1469,6,9,21,450,3516
1470,7,9,22,330,2460
1471,1,9,23,394,2994
1472,2,9,24,594,4688
1473,3,9,25,596,4924
1474,4,9,26,610,5209
1475,5,9,27,644,5966
1476,6,9,28,528,4740
1477,7,9,29,252,2715
1478,1,9,30,379,3739
1479,2,10,1,651,5841
1480,3,10,2,582,5881
1481,4,10,3,614,5540
1482,5,10,4,588,5636
1483,6,10,5,482,4479
1484,7,10,6,344,3076
1485,1,10,7,408,3973
1486,2,10,8,651,6045
1487,3,10,9,651,6126
1488,4,10,10,703,6084
1489,5,10,11,622,6154
1490,6,10,12,601,4868
1491,7,10,13,373,3409
1492,1,10,14,498,4722
1493,2,10,15,784,6555
1494,3,10,16,759,7079
1495,4,10,17,780,6691
1496,5,10,18,732,6522
1497,6,10,19,533,4922
1498,7,10,20,409,3409
1499,1,10,21,469,4483
1500,2,10,22,730,6666
1501,3,10,23,761,6991
1502,4,10,24,811,6871
1503,5,10,25,752,6357
1504,6,10,26,641,5114
1505,7,10,27,394,3456
1506,1,10,28,516,4924
1507,2,10,29,814,6837
1508,3,10,30,749,6481
1509,4,10,31,771,6296
1510,5,11,1,689,6044
1511,6,11,2,588,4860
1512,7,11,3,343,3430
1513,1,11,4,492,4638
1514,2,11,5,720,6365
1515,3,11,6,735,6330
1516,4,11,7,670,5865
1517,5,11,8,640,5692
1518,6,11,9,616,5026
1519,7,11,10,410,3506
1520,1,11,11,556,4778
1521,2,11,12,797,6684
1522,3,11,13,802,6766
1523,4,11,14,802,6916
1524,5,11,15,745,6440
1525,6,11,16,634,5066
1526,7,11,17,446,3503
1527,1,11,18,630,4855
1528,2,11,19,806,6818
1529,3,11,20,784,6239
1530,4,11,21,710,5471
1531,5,11,22,594,4453
1532,6,11,23,545,4062
1533,7,11,24,458,3485
1534,1,11,25,556,4906
1535,2,11,26,859,7099
1536,3,11,27,914,7503
1537,4,11,28,897,7554
1538,5,11,29,838,7169
1539,6,11,30,684,5608
1540,7,12,1,494,4055
1541,1,12,2,647,5611
1542,2,12,3,947,7650
1543,3,12,4,897,7372
1544,4,12,5,850,7369
1545,5,12,6,880,7250
1546,6,12,7,736,5735
1547,7,12,8,541,4614
1548,1,12,9,710,5979
1549,2,12,10,956,7840
1550,3,12,11,937,7659
1551,4,12,12,973,7319
1552,5,12,13,832,6373
1553,6,12,14,628,4897
1554,7,12,15,376,3325
1555,1,12,16,465,3874
1556,2,12,17,729,5436
1557,3,12,18,617,5174
1558,4,12,19,623,4873
1559,5,12,20,552,3913
1560,6,12,21,436,2934
1561,7,12,22,228,1523
1562,1,12,23,226,1859
1563,2,12,24,291,1835
1564,3,12,25,259,1852
1565,4,12,26,351,2357
1566,5,12,27,365,2583
1567,6,12,28,334,2477
1568,7,12,29,207,1694
1569,1,12,30,243,1985
1570,2,12,31,285,1723
1571,3,1,1,277,1715
1572,4,1,2,462,3431
1573,5,1,3,534,4118
1574,6,1,4,437,3504
1575,7,1,5,261,2308
1576,1,1,6,398,2925
1577,2,1,7,550,4587
1578,3,1,8,597,4731
1579,4,1,9,585,4831
1580,5,1,10,538,4162
1581,6,1,11,477,3726
1582,7,1,12,309,2458
1583,1,1,13,386,3266
1584,2,1,14,588,5016
1585,3,1,15,582,4732
1586,4,1,16,602,4938
1587,5,1,17,549,5033
1588,6,1,18,495,4114
1589,7,1,19,330,2780
1590,1,1,20,393,4205
1591,2,1,21,608,4983
1592,3,1,22,622,5182
1593,4,1,23,657,5316
1594,5,1,24,609,5021
1595,6,1,25,500,4230
1596,7,1,26,341,2743
1597,1,1,27,390,3890
1598,2,1,28,693,5575
1599,3,1,29,606,5732
1600,4,1,30,625,5402
1601,5,1,31,613,5069
1602,6,2,1,559,4222
1603,7,2,2,306,2864
1604,1,2,3,403,3598
1605,2,2,4,621,5366
1606,3,2,5,633,5427
1607,4,2,6,629,5667
1608,5,2,7,694,5517
1609,6,2,8,514,4420
1610,7,2,9,363,3150
1611,1,2,10,492,4264
1612,2,2,11,710,6569
1613,3,2,12,701,6145
1614,4,2,13,696,5743
1615,5,2,14,687,5512
1616,6,2,15,575,4127
1617,7,2,16,386,3309
1618,1,2,17,452,3761
1619,2,2,18,686,5592
1620,3,2,19,747,6100
1621,4,2,20,722,6208
1622,5,2,21,719,5730
1623,6,2,22,565,4372
1624,7,2,23,388,3378
1625,1,2,24,488,4367
1626,2,2,25,746,6318
1627,3,2,26,774,6431
1628,4,2,27,763,5919
1629,5,2,28,700,5668
1630,6,3,1,584,4581
1631,7,3,2,385,3383
1632,1,3,3,529,4311
1633,2,3,4,771,6357
1634,3,3,5,749,6092
1635,4,3,6,730,5772
1636,5,3,7,734,5861
1637,6,3,8,557,4600
1638,7,3,9,369,3390
1639,1,3,10,501,4099
1640,2,3,11,721,6240
1641,3,3,12,752,5871
1642,4,3,13,780,6381
1643,5,3,14,715,5853
1644,6,3,15,617,4425
1645,7,3,16,414,2961
1646,1,3,17,486,4008
1647,2,3,18,721,5830
1648,3,3,19,716,6089
1649,4,3,20,754,5800
1650,5,3,21,661,5431
1651,6,3,22,528,4560
1652,7,3,23,395,3256
1653,1,3,24,472,4156
1654,2,3,25,763,6060
1655,3,3,26,766,6191
1656,4,3,27,770,6678
1657,5,3,28,725,6167
1658,6,3,29,546,4441
1659,7,3,30,376,3243
1660,1,3,31,496,4260
1661,2,4,1,688,6078
1662,3,4,2,823,6824
1663,4,4,3,785,6621
1664,5,4,4,696,6231
1665,6,4,5,627,4776
1666,7,4,6,395,3148
1667,1,4,7,539,4357
1668,2,4,8,778,6794
1669,3,4,9,769,6688
1670,4,4,10,802,6570
1671,5,4,11,760,6113
1672,6,4,12,610,4856
1673,7,4,13,398,3401
1674,1,4,14,597,4551
1675,2,4,15,806,6614
1676,3,4,16,800,7019
1677,4,4,17,789,6643
1678,5,4,18,692,5398
1679,6,4,19,499,4323
1680,7,4,20,422,3546
1681,1,4,21,511,4312
1682,2,4,22,791,6363
1683,3,4,23,821,6797
1684,4,4,24,866,7144
1685,5,4,25,817,6555
1686,6,4,26,691,5400
1687,7,4,27,427,3710
1688,1,4,28,566,4788
1689,2,4,29,762,6232
1690,3,4,30,824,6093
1691,4,5,1,719,6117
1692,5,5,2,720,6274
1693,6,5,3,607,4774
1694,7,5,4,463,3437
1695,1,5,5,552,4330
1696,2,5,6,762,5902
1697,3,5,7,789,6064
1698,4,5,8,739,5709
1699,5,5,9,669,5596
1700,6,5,10,650,4498
1701,7,5,11,417,3258
1702,1,5,12,495,3571
1703,2,5,13,772,5677
1704,3,5,14,692,5534
1705,4,5,15,678,5391
1706,5,5,16,624,5043
1707,6,5,17,541,3993
1708,7,5,18,331,2565
1709,1,5,19,410,3369
1710,2,5,20,636,4993
1711,3,5,21,593,4728
1712,4,5,22,659,4963
1713,5,5,23,545,4637
1714,6,5,24,489,3694
1715,7,5,25,311,2460
1716,1,5,26,371,3006
1717,2,5,27,509,3992
1718,3,5,28,636,4960
1719,4,5,29,553,4376
1720,5,5,30,543,4143
1721,6,5,31,454,3359
1722,7,6,1,253,2218
1723,1,6,2,329,2768
1724,2,6,3,536,3967
1725,3,6,4,582,4501
1726,4,6,5,494,3973
1727,5,6,6,559,4259
1728,6,6,7,444,3181
1729,7,6,8,259,2170
1730,1,6,9,344,2810
1731,2,6,10,567,4420
1732,3,6,11,594,4793
1733,4,6,12,585,4410
1734,5,6,13,564,4076
1735,6,6,14,476,3287
1736,7,6,15,266,2176
1737,1,6,16,328,2516
1738,2,6,17,527,4142
1739,3,6,18,552,4225
1740,4,6,19,531,4162
1741,5,6,20,478,3716
1742,6,6,21,422,3333
1743,7,6,22,242,1918
1744,1,6,23,304,2344
1745,2,6,24,442,3691
1746,3,6,25,523,4035
1747,4,6,26,489,3939
1748,5,6,27,474,3738
1749,6,6,28,364,2846
1750,7,6,29,216,1733
1751,1,6,30,254,2184
1752,2,7,1,484,3512
1753,3,7,2,473,3675
1754,4,7,3,435,3831
1755,5,7,4,323,2801
1756,6,7,5,344,2552
1757,7,7,6,181,1950
1758,1,7,7,268,2110
1759,2,7,8,520,4303
1760,3,7,9,464,3883
1761,4,7,10,560,4244
1762,5,7,11,519,3765
1763,6,7,12,460,3286
1764,7,7,13,242,1851
1765,1,7,14,321,2580
1766,2,7,15,529,4140
1767,3,7,16,500,4076
1768,4,7,17,540,4141
1769,5,7,18,525,3898
1770,6,7,19,437,3027
1771,7,7,20,238,1831
1772,1,7,21,261,2282
1773,2,7,22,514,4138
1774,3,7,23,524,4049
1775,4,7,24,604,4272
1776,5,7,25,545,4089
1777,6,7,26,422,3277
1778,7,7,27,239,1954
1779,1,7,28,270,2111
1780,2,7,29,486,3625
1781,3,7,30,520,4415
1782,4,7,31,483,3854
1783,5,8,1,509,4114
1784,6,8,2,406,3492
1785,7,8,3,216,1849
1786,1,8,4,283,2239
1787,2,8,5,473,3976
1788,3,8,6,549,4061
1789,4,8,7,460,3702
1790,5,8,8,441,3622
1791,6,8,9,373,3039
1792,7,8,10,216,1848
1793,1,8,11,260,2082
1794,2,8,12,453,3807
1795,3,8,13,452,3993
1796,4,8,14,430,3567
1797,5,8,15,404,3484
1798,6,8,16,359,2994
1799,7,8,17,202,1793
1800,1,8,18,244,2422
1801,2,8,19,476,4070
1802,3,8,20,507,3987
1803,4,8,21,444,3355
1804,5,8,22,332,2925
1805,6,8,23,374,3010
1806,7,8,24,229,1896
1807,1,8,25,294,2501
1808,2,8,26,457,3851
1809,3,8,27,453,4403
1810,4,8,28,502,4627
1811,5,8,29,505,4221
1812,6,8,30,375,3025
1813,7,8,31,207,1998
1814,1,9,1,231,2297
1815,2,9,2,362,3192
1816,3,9,3,487,4087
1817,4,9,4,506,4787
1818,5,9,5,508,4483
1819,6,9,6,388,3571
1820,7,9,7,223,2263
1821,1,9,8,291,2948
1822,2,9,9,502,4521
1823,3,9,10,493,4563
1824,4,9,11,464,4598
1825,5,9,12,488,4603
1826,6,9,13,387,3349
1827,7,9,14,265,2437
1828,1,9,15,285,3188
1829,2,9,16,559,5291
1830,3,9,17,542,5477
1831,4,9,18,504,5257
1832,5,9,19,472,5000
1833,6,9,20,415,3890
1834,7,9,21,255,2654
1835,1,9,22,312,3656
1836,2,9,23,513,5223
1837,3,9,24,539,5276
1838,4,9,25,532,5476
1839,5,9,26,510,5196
1840,6,9,27,415,4052
1841,7,9,28,249,2635
1842,1,9,29,354,4076
1843,2,9,30,538,5167
1844,3,10,1,552,4972
1845,4,10,2,474,5143
1846,5,10,3,513,4753
1847,6,10,4,414,3795
1848,7,10,5,291,2920
1849,1,10,6,379,3950
1850,2,10,7,497,5493
1851,3,10,8,481,5652
1852,4,10,9,548,5617
1853,5,10,10,541,5234
1854,6,10,11,473,4118
1855,7,10,12,308,2863
1856,1,10,13,368,4032
1857,2,10,14,556,5476
1858,3,10,15,545,5542
1859,4,10,16,563,5340
1860,5,10,17,572,5388
1861,6,10,18,422,4309
1862,7,10,19,326,3117
1863,1,10,20,402,4234
1864,2,10,21,637,5698
1865,3,10,22,596,5721
1866,4,10,23,623,6018
1867,5,10,24,598,5563
1868,6,10,25,500,4159
1869,7,10,26,304,2732
1870,1,10,27,394,3901
1871,2,10,28,591,5749
1872,3,10,29,564,5821
1873,4,10,30,607,5647
1874,5,10,31,509,5219
1875,6,11,1,406,4054
1876,7,11,2,281,2815
1877,1,11,3,460,4253
1878,2,11,4,544,5816
1879,3,11,5,627,5843
1880,4,11,6,679,6058
1881,5,11,7,679,6291
1882,6,11,8,518,4604
1883,7,11,9,337,3354
1884,1,11,10,441,4190
1885,2,11,11,621,5931
1886,3,11,12,712,6443
1887,4,11,13,703,5805
1888,5,11,14,603,5753
1889,6,11,15,525,4709
1890,7,11,16,370,3418
1891,1,11,17,515,4821
1892,2,11,18,714,6444
1893,3,11,19,653,6607
1894,4,11,20,666,6726
1895,5,11,21,622,6334
1896,6,11,22,490,4575
1897,7,11,23,356,3414
1898,1,11,24,455,4535
1899,2,11,25,631,5970
1900,3,11,26,593,5630
1901,4,11,27,598,5384
1902,5,11,28,476,4201
1903,6,11,29,443,3799
1904,7,11,30,390,3301
1905,1,12,1,459,4420
1906,2,12,2,643,6384
1907,3,12,3,690,6964
1908,4,12,4,707,6957
1909,5,12,5,682,6350
1910,6,12,6,538,5324
1911,7,12,7,398,3795
1912,1,12,8,477,5013
1913,2,12,9,681,7005
1914,3,12,10,660,6606
1915,4,12,11,662,6686
1916,5,12,12,662,6163
1917,6,12,13,471,4581
1918,7,12,14,282,2930
1919,1,12,15,392,3585
1920,2,12,16,525,4925
1921,3,12,17,546,4743
1922,4,12,18,472,4716
1923,5,12,19,440,3793
1924,6,12,20,323,2688
1925,7,12,21,157,1682
1926,1,12,22,221,1880
1927,2,12,23,296,2451
1928,3,12,24,220,1644
1929,4,12,25,176,1483
1930,5,12,26,253,1864
1931,6,12,27,210,1927
1932,7,12,28,200,1679
1933,1,12,29,188,1962
1934,2,12,30,283,2469
1935,3,12,31,187,1750
1936,4,1,1,235,1554
1937,5,1,2,329,2820
1938,6,1,3,321,2970
1939,7,1,4,226,2111
1940,1,1,5,274,2393
1941,2,1,6,429,3704
1942,3,1,7,423,3760
1943,4,1,8,442,3698
1944,5,1,9,464,4243
1945,6,1,10,372,3177
1946,7,1,11,253,2361
1947,1,1,12,277,2762
1948,2,1,13,515,4298
1949,3,1,14,434,3838
1950,4,1,15,394,3754
1951,5,1,16,441,3817
1952,6,1,17,413,3175
1953,7,1,18,246,2336
1954,1,1,19,314,2597
1955,2,1,20,443,3715
1956,3,1,21,484,4459
1957,4,1,22,473,4483
1958,5,1,23,490,4225
1959,6,1,24,353,3111
1960,7,1,25,249,2353
1961,1,1,26,307,3198
1962,2,1,27,481,4432
1963,3,1,28,506,4664
1964,4,1,29,519,4471
1965,5,1,30,468,4486
1966,6,1,31,400,3527
1967,7,2,1,267,2514
1968,1,2,2,303,2993
1969,2,2,3,520,4728
1970,3,2,4,510,4883
1971,4,2,5,533,5071
1972,5,2,6,498,4638
1973,6,2,7,430,3757
1974,7,2,8,303,2761
1975,1,2,9,351,3423
1976,2,2,10,552,5066
1977,3,2,11,546,4928
1978,4,2,12,522,4996
1979,5,2,13,635,5004
1980,6,2,14,420,3675
1981,7,2,15,267,2556
1982,1,2,16,447,3732
1983,2,2,17,569,4958
1984,3,2,18,533,4869
1985,4,2,19,547,5224
1986,5,2,20,536,4890
1987,6,2,21,386,3678
1988,7,2,22,266,2456
1989,1,2,23,321,3444
1990,2,2,24,584,5000
1991,3,2,25,609,5496
1992,4,2,26,546,5059
1993,5,2,27,512,4813
1994,6,2,28,483,3810
1995,7,2,29,311,2682
1996,1,3,1,375,3332
1997,2,3,2,537,4872
1998,3,3,3,504,5097
1999,4,3,4,473,4714
2000,5,3,5,566,5048
2001,6,3,6,457,3698
2002,7,3,7,297,2670
2003,1,3,8,381,3416
2004,2,3,9,561,4731
2005,3,3,10,549,4820
2006,4,3,11,529,4813
2007,5,3,12,556,4393
2008,6,3,13,441,3316
2009,7,3,14,319,2416
2010,1,3,15,314,2934
2011,2,3,16,348,2732
2012,3,3,17,482,3805
2013,4,3,18,468,3748
2014,5,3,19,412,3678
2015,6,3,20,408,3322
2016,7,3,21,300,2701
2017,1,3,22,349,3263
2018,2,3,23,476,4105
2019,3,3,24,481,4156
2020,4,3,25,489,4153
2021,5,3,26,450,4256
2022,6,3,27,414,3818
2023,7,3,28,335,3045
2024,1,3,29,444,4079
2025,2,3,30,572,4899
2026,3,3,31,512,4943
2027,4,4,1,482,4907
2028,5,4,2,533,4933
2029,6,4,3,523,4665
2030,7,4,4,361,3366
2031,1,4,5,401,3976
2032,2,4,6,570,4981
2033,3,4,7,592,5331
2034,4,4,8,547,5331
2035,5,4,9,556,5063
2036,6,4,10,485,4252
2037,7,4,11,433,3656
2038,1,4,12,459,4152
2039,2,4,13,543,5089
2040,3,4,14,593,5491
2041,4,4,15,670,5665
2042,5,4,16,611,5423
2043,6,4,17,536,4688
2044,7,4,18,486,4055
2045,1,4,19,614,4830
2046,2,4,20,648,5908
2047,3,4,21,655,5633
2048,4,4,22,664,5786
2049,5,4,23,684,5967
2050,6,4,24,560,4937
2051,7,4,25,470,4327
2052,1,4,26,571,5086
2053,2,4,27,717,6038
2054,3,4,28,710,6324
2055,4,4,29,729,6062
2056,5,4,30,599,5520
2057,6,5,1,553,4670
2058,7,5,2,462,4171
2059,1,5,3,581,4716
2060,2,5,4,685,5939
2061,3,5,5,731,6361
2062,4,5,6,742,6659
2063,5,5,7,790,6264
2064,6,5,8,610,5359
2065,7,5,9,520,4593
